class,w,h,xc,yc,area
2,0.0583,0.055,0.7475,0.6775,0.0032064999999999997
0,0.0417,0.045,0.0225,0.7342,0.0018765
0,0.0333,0.0383,0.6283,0.3425,0.0012753900000000002
0,0.0333,0.0367,0.6667,0.785,0.0012221100000000002
2,0.045,0.0483,0.7942,0.9208,0.0021735
2,0.04,0.0333,0.69,0.2033,0.001332
2,0.0317,0.035,0.9825,0.2392,0.0011095
2,0.0367,0.04,0.74,0.73,0.0014680000000000001
3,0.0633,0.065,0.035,0.8192,0.0041145
4,0.0416,0.0366,0.277,0.9784,0.00152256
0,0.0517,0.0283,0.4242,0.1175,0.00146311
0,0.0267,0.0433,0.955,0.2067,0.0011561100000000001
0,0.0533,0.0217,0.085,0.7808,0.00115661
1,0.0416,0.0549,0.4534,0.9443,0.0022838399999999997
5,0.13,0.0767,0.6633,0.29,0.009971
5,0.075,0.1917,0.8525,0.7558,0.0143775
2,0.0483,0.0433,0.495,0.8752,0.00209139
2,0.0483,0.0449,0.8494,0.1938,0.00216867
2,0.0416,0.0466,0.6631,0.4393,0.00193856
2,0.0449,0.0483,0.3985,0.7712,0.00216867
2,0.0483,0.0499,0.1739,0.6622,0.00241017
1,0.0317,0.07,0.1642,0.4733,0.002219
1,0.0583,0.03,0.3208,0.4583,0.001749
4,0.0399,0.02,0.5857,0.7271,0.000798
4,0.0416,0.0349,0.8261,0.6265,0.00145184
1,0.0366,0.0333,0.4925,0.2729,0.00121878
1,0.0416,0.0516,0.7562,0.1073,0.00214656
5,0.1,0.04,0.0567,0.8767,0.004
5,0.055,0.1317,0.0475,0.6092,0.007243500000000001
3,0.0683,0.0667,0.1375,0.23,0.00455561
2,0.0717,0.0667,0.2975,0.4717,0.00478239
5,0.0732,0.0715,0.5275,0.2121,0.005233799999999999
0,0.04,0.0533,0.0867,0.3083,0.002132
2,0.06,0.0683,0.7417,0.7708,0.004098
4,0.0317,0.0367,0.3108,0.7283,0.00116339
1,0.0732,0.0532,0.2446,0.0483,0.0038942399999999998
1,0.0416,0.0582,0.2221,0.3286,0.00242112
2,0.0466,0.0383,0.6739,0.9276,0.0017847800000000001
5,0.0367,0.075,0.855,0.5342,0.0027525
5,0.0833,0.03,0.6033,0.31,0.002499
5,0.0317,0.0683,0.6308,0.8642,0.00216511
0,0.0549,0.0433,0.9692,0.3245,0.0023771699999999996
0,0.0582,0.0333,0.8977,0.7338,0.0019380600000000003
0,0.0399,0.0516,0.6123,0.1889,0.0020588399999999997
2,0.06,0.0683,0.7417,0.1042,0.004098
2,0.0633,0.0533,0.6183,0.7667,0.0033738899999999996
5,0.0416,0.1281,0.6015,0.4983,0.00532896
5,0.0865,0.0349,0.6606,0.2105,0.00301885
4,0.03,0.0333,0.7105,0.0366,0.000999
4,0.03,0.0366,0.2529,0.1348,0.001098
0,0.0633,0.0483,0.175,0.5692,0.00305739
0,0.0517,0.0683,0.0408,0.7458,0.00353111
2,0.0383,0.0367,0.4808,0.265,0.00140561
3,0.0633,0.0517,0.36,0.4475,0.00327261
3,0.065,0.0617,0.5025,0.8625,0.0040105
5,0.0367,0.0683,0.0417,0.6325,0.0025066100000000003
5,0.08,0.0317,0.2183,0.4142,0.002536
5,0.095,0.0417,0.1042,0.8075,0.0039615
5,0.0683,0.0383,0.4358,0.7042,0.00261589
2,0.075,0.0317,0.3225,0.9825,0.0023775
0,0.0316,0.0566,0.7196,0.3295,0.00178856
1,0.0617,0.0317,0.8208,0.7092,0.00195589
1,0.03,0.0367,0.84,0.8783,0.001101
3,0.0532,0.0765,0.614,0.1481,0.004069799999999999
3,0.0815,0.0599,0.4118,0.6223,0.00488185
3,0.0367,0.0483,0.49,0.5508,0.0017726100000000002
4,0.0417,0.0833,0.4475,0.1517,0.0034736100000000002
4,0.0417,0.065,0.2725,0.3275,0.0027105000000000002
2,0.0965,0.1015,0.6872,0.2987,0.009794750000000001
5,0.0782,0.1098,0.7862,0.4193,0.00858636
5,0.0616,0.0599,0.8744,0.797,0.0036898400000000002
5,0.1048,0.0532,0.2737,0.2879,0.00557536
5,0.0599,0.0649,0.1148,0.5133,0.0038875100000000003
2,0.0417,0.0417,0.3908,0.3258,0.00173889
0,0.04,0.0583,0.785,0.1258,0.002332
4,0.0333,0.0399,0.8003,0.4692,0.0013286700000000001
0,0.0517,0.0367,0.0492,0.3783,0.0018973900000000003
0,0.0483,0.06,0.0958,0.6267,0.002898
2,0.065,0.0717,0.2592,0.0442,0.004660500000000001
0,0.06,0.03,0.525,0.38,0.0018
2,0.0433,0.04,0.18,0.9,0.001732
5,0.0899,0.025,0.5241,0.3686,0.0022475
2,0.0616,0.0616,0.4601,0.2022,0.00379456
2,0.0749,0.0899,0.48,0.6855,0.006733509999999999
2,0.0799,0.0765,0.4859,0.406,0.00611235
2,0.0383,0.0349,0.8078,0.5732,0.00133667
2,0.0383,0.0316,0.9775,0.7646,0.0012102800000000002
2,0.0399,0.0383,0.7737,0.9659,0.00152817
3,0.0632,0.0682,0.9651,0.698,0.00431024
0,0.0366,0.0333,0.4326,0.0915,0.00121878
1,0.07,0.035,0.6033,0.3408,0.0024500000000000004
1,0.06,0.03,0.4,0.2517,0.0018
1,0.0333,0.04,0.6433,0.9783,0.001332
3,0.0533,0.0617,0.3,0.8292,0.00328861
3,0.055,0.0567,0.6392,0.7083,0.0031185
2,0.0533,0.05,0.4817,0.825,0.0026650000000000003
2,0.0417,0.0483,0.5975,0.5642,0.00201411
0,0.03,0.0366,0.8669,0.7754,0.001098
0,0.0549,0.0283,0.1456,0.5982,0.0015536699999999998
3,0.0599,0.0616,0.6023,0.5017,0.0036898400000000002
3,0.0549,0.0516,0.4667,0.129,0.0028328399999999997
3,0.0599,0.0882,0.9334,0.6131,0.00528318
0,0.0449,0.0349,0.302,0.4251,0.0015670100000000002
0,0.0333,0.0483,0.8552,0.6348,0.0016083900000000003
1,0.0283,0.0567,0.5175,0.9317,0.00160461
0,0.0433,0.0732,0.8153,0.8819,0.00316956
4,0.0267,0.0317,0.565,0.4175,0.00084639
4,0.035,0.0483,0.6225,0.4842,0.0016905000000000002
2,0.0516,0.0483,0.0824,0.5416,0.00249228
2,0.0499,0.0483,0.4526,0.5433,0.00241017
0,0.0466,0.0582,0.5807,0.089,0.00271212
0,0.0632,0.0749,0.7238,0.2937,0.0047336800000000005
4,0.04,0.0467,0.7133,0.1417,0.0018679999999999999
4,0.0617,0.0333,0.5892,0.0183,0.00205461
2,0.0449,0.0399,0.2304,0.9101,0.00179151
3,0.0333,0.04,0.5167,0.3967,0.001332
3,0.05,0.0383,0.0767,0.5925,0.001915
5,0.0317,0.065,0.3792,0.3075,0.0020605
4,0.04,0.0383,0.69,0.5025,0.0015320000000000002
4,0.035,0.03,0.0842,0.3733,0.0010500000000000002
1,0.045,0.0817,0.1208,0.6925,0.0036764999999999996
1,0.0383,0.0717,0.6575,0.5825,0.00274611
1,0.0383,0.0567,0.1708,0.5267,0.00217161
3,0.0566,0.0632,0.6023,0.5824,0.00357712
3,0.0566,0.0815,0.2579,0.8195,0.0046129
5,0.0699,0.03,0.0366,0.2696,0.002097
5,0.0449,0.1331,0.7845,0.8735,0.00597619
3,0.0667,0.0817,0.6,0.4825,0.005449389999999999
3,0.0567,0.0617,0.79,0.8058,0.00349839
2,0.045,0.045,0.8608,0.9758,0.002025
2,0.045,0.0567,0.5592,0.7467,0.0025515
1,0.035,0.06,0.3958,0.585,0.0021000000000000003
1,0.035,0.0617,0.7175,0.4958,0.0021595
0,0.065,0.0433,0.3675,0.0233,0.0028145
0,0.06,0.085,0.6833,0.2108,0.0051
4,0.0617,0.0433,0.0358,0.455,0.0026716099999999996
4,0.0483,0.08,0.1758,0.33,0.0038640000000000002
4,0.0517,0.0783,0.4192,0.3475,0.00404811
4,0.0483,0.0417,0.1408,0.2875,0.00201411
4,0.0333,0.0633,0.0183,0.4117,0.00210789
1,0.065,0.07,0.9658,0.6317,0.00455
1,0.0633,0.0917,0.895,0.9025,0.00580461
1,0.0383,0.0466,0.6631,0.7404,0.0017847800000000001
1,0.0732,0.0399,0.3062,0.782,0.0029206799999999997
1,0.0416,0.0948,0.1672,0.1672,0.00394368
2,0.0466,0.0349,0.4226,0.2804,0.0016263400000000002
5,0.0333,0.075,0.9667,0.4492,0.0024975
3,0.0516,0.0616,0.9609,0.6115,0.00317856
4,0.0317,0.0333,0.3442,0.3183,0.00105561
2,0.0399,0.0366,0.7953,0.4725,0.0014603399999999999
0,0.045,0.055,0.6458,0.0308,0.0024749999999999998
0,0.05,0.0317,0.3783,0.3492,0.001585
0,0.0283,0.0517,0.9508,0.5575,0.00146311
5,0.0383,0.0883,0.9092,0.2192,0.0033818900000000002
1,0.0533,0.0583,0.1767,0.7308,0.00310739
1,0.0367,0.065,0.6317,0.8392,0.0023855000000000005
0,0.0467,0.065,0.1417,0.7342,0.0030355
0,0.035,0.0717,0.5092,0.4492,0.0025095000000000004
0,0.05,0.0633,0.5283,0.9167,0.003165
0,0.0517,0.0717,0.8575,0.7592,0.00370689
4,0.045,0.0367,0.8275,0.6883,0.0016515000000000002
4,0.0333,0.0383,0.28,0.6842,0.0012753900000000002
4,0.045,0.0533,0.1758,0.57,0.0023985
0,0.0467,0.0333,0.0683,0.4167,0.0015551100000000002
4,0.035,0.025,0.5575,0.2808,0.0008750000000000001
4,0.0317,0.0283,0.3108,0.1125,0.0008971099999999999
4,0.0367,0.02,0.56,0.055,0.0007340000000000001
5,0.075,0.0267,0.8092,0.4333,0.0020025
5,0.0583,0.0267,0.7458,0.57,0.00155661
5,0.035,0.0683,0.0742,0.5842,0.0023905000000000003
4,0.0183,0.02,0.9725,0.6667,0.000366
4,0.0233,0.0267,0.4033,0.8933,0.00062211
4,0.0317,0.025,0.3042,0.3408,0.0007925
4,0.0183,0.0233,0.2125,0.6133,0.00042639
2,0.045,0.045,0.6208,0.1708,0.002025
5,0.0366,0.1032,0.8336,0.9451,0.00377712
5,0.0633,0.03,0.325,0.16,0.0018989999999999999
5,0.0417,0.0183,0.2492,0.2442,0.00076311
5,0.0416,0.0749,0.8627,0.6398,0.0031158399999999995
5,0.0383,0.0699,0.2072,0.6273,0.00267717
5,0.0316,0.0799,0.1755,0.8968,0.0025248400000000004
0,0.0567,0.03,0.03,0.6867,0.001701
0,0.0366,0.0283,0.782,0.8894,0.00103578
2,0.0367,0.0383,0.095,0.4725,0.00140561
4,0.0333,0.04,0.295,0.3383,0.001332
4,0.0367,0.0433,0.8433,0.265,0.0015891100000000001
0,0.0467,0.0517,0.7067,0.4575,0.00241439
3,0.0583,0.0617,0.6908,0.6192,0.0035971099999999997
3,0.0383,0.0417,0.7692,0.2925,0.0015971100000000001
2,0.0417,0.0367,0.8675,0.5283,0.0015303900000000002
2,0.045,0.0517,0.6375,0.8175,0.0023265
1,0.0449,0.0799,0.8245,0.9334,0.0035875100000000004
1,0.0732,0.0499,0.5291,0.7038,0.00365268
1,0.0715,0.0483,0.5982,0.5283,0.00345345
3,0.0599,0.0732,0.8769,0.9551,0.00438468
1,0.05,0.0867,0.2183,0.1233,0.004335
2,0.0567,0.0617,0.5367,0.5408,0.00349839
3,0.0483,0.045,0.4675,0.1575,0.0021735
3,0.0483,0.05,0.2625,0.3033,0.0024150000000000005
3,0.04,0.0467,0.3317,0.5933,0.0018679999999999999
4,0.04,0.0533,0.6183,0.5117,0.002132
4,0.0333,0.025,0.4783,0.6908,0.0008325000000000001
3,0.03,0.0567,0.2933,0.5117,0.001701
3,0.0333,0.0417,0.48,0.1492,0.0013886100000000002
3,0.0417,0.0417,0.0708,0.8108,0.00173889
2,0.0317,0.035,0.2975,0.4758,0.0011095
2,0.0417,0.035,0.5158,0.5558,0.0014595
2,0.0367,0.035,0.6733,0.2292,0.0012845000000000003
2,0.0383,0.0467,0.7042,0.745,0.00178861
1,0.0617,0.0317,0.4992,0.2742,0.00195589
4,0.0449,0.0566,0.1789,0.4526,0.00254134
4,0.0349,0.0433,0.1556,0.0449,0.00151117
5,0.0366,0.0815,0.208,0.9309,0.0029829
5,0.0266,0.0666,0.5607,0.0483,0.0017715600000000001
0,0.0333,0.0583,0.5067,0.4992,0.00194139
0,0.0533,0.0283,0.8033,0.7042,0.0015083899999999999
0,0.0267,0.0433,0.4417,0.96,0.0011561100000000001
3,0.0649,0.0283,0.3136,0.9825,0.0018366699999999999
3,0.0599,0.0649,0.1913,0.876,0.0038875100000000003
3,0.0616,0.0666,0.6414,0.5474,0.004102560000000001
3,0.0532,0.0499,0.6789,0.6506,0.00265468
4,0.045,0.0667,0.1625,0.325,0.0030015
5,0.0666,0.0433,0.6456,0.6456,0.0028837800000000003
4,0.045,0.05,0.3092,0.0417,0.00225
4,0.0567,0.07,0.0967,0.1783,0.003969
4,0.0383,0.05,0.6425,0.0883,0.001915
1,0.0582,0.0349,0.0541,0.2354,0.00203118
4,0.0316,0.0483,0.2687,0.1839,0.0015262800000000003
4,0.0333,0.0283,0.0233,0.6547,0.0009423900000000001
4,0.025,0.0316,0.515,0.52,0.0007900000000000001
2,0.0583,0.0583,0.0308,0.2058,0.00339889
0,0.0717,0.05,0.8708,0.3333,0.003585
5,0.0467,0.0317,0.7417,0.0175,0.0014803899999999998
3,0.0267,0.0533,0.015,0.955,0.00142311
1,0.0483,0.03,0.9742,0.3117,0.001449
4,0.03,0.0333,0.685,0.3783,0.000999
4,0.0467,0.0317,0.7883,0.7758,0.0014803899999999998
0,0.025,0.0417,0.0442,0.2142,0.0010425
0,0.0267,0.06,0.1733,0.6433,0.0016020000000000001
0,0.0267,0.065,0.445,0.7358,0.0017355
0,0.0233,0.0533,0.6067,0.65,0.00124189
4,0.0317,0.0367,0.4892,0.7133,0.00116339
4,0.0333,0.0267,0.1467,0.4183,0.0008891100000000001
4,0.03,0.0333,0.7433,0.355,0.000999
4,0.0267,0.0317,0.555,0.2642,0.00084639
5,0.0183,0.0967,0.3342,0.9383,0.00176961
5,0.025,0.1133,0.4358,0.9067,0.0028325
2,0.0367,0.0417,0.3017,0.9425,0.0015303900000000002
5,0.065,0.0533,0.4008,0.8733,0.0034645
4,0.0283,0.035,0.4308,0.0442,0.0009905
4,0.0267,0.03,0.7,0.1017,0.0008010000000000001
4,0.0333,0.0367,0.3217,0.1317,0.0012221100000000002
4,0.04,0.0283,0.4633,0.8358,0.001132
3,0.0417,0.0817,0.3558,0.4075,0.0034068899999999997
3,0.0433,0.0883,0.7017,0.3592,0.00382339
5,0.0632,0.025,0.5191,0.8311,0.0015800000000000002
5,0.0566,0.0316,0.0316,0.5566,0.00178856
4,0.0333,0.03,0.49,0.555,0.000999
4,0.02,0.0367,0.865,0.4817,0.0007340000000000001
4,0.0317,0.0233,0.2208,0.6133,0.00073861
4,0.03,0.025,0.895,0.7492,0.00075
2,0.035,0.0383,0.8158,0.6675,0.0013405000000000001
2,0.0317,0.04,0.5442,0.19,0.001268
2,0.0383,0.0283,0.4058,0.8292,0.00108389
5,0.0333,0.0933,0.2617,0.8983,0.00310689
5,0.0333,0.035,0.26,0.9808,0.0011655000000000003
1,0.0367,0.0333,0.505,0.7283,0.0012221100000000002
1,0.0417,0.0517,0.2408,0.8942,0.00215589
0,0.06,0.0617,0.5583,0.2292,0.0037019999999999996
0,0.0667,0.0533,0.6983,0.7233,0.0035551099999999998
0,0.0617,0.0417,0.6758,0.3575,0.00257289
3,0.0817,0.1233,0.5692,0.6033,0.01007361
3,0.07,0.0983,0.3433,0.1792,0.006881000000000001
2,0.0416,0.0483,0.3136,0.9193,0.00200928
1,0.0633,0.0283,0.615,0.1342,0.0017913899999999997
1,0.0633,0.0283,0.87,0.0492,0.0017913899999999997
1,0.0617,0.0217,0.4392,0.4358,0.00133889
1,0.0333,0.0633,0.085,0.5167,0.00210789
1,0.0633,0.03,0.4267,0.3283,0.0018989999999999999
5,0.0599,0.0649,0.4459,0.1689,0.0038875100000000003
5,0.1032,0.0416,0.2679,0.0225,0.00429312
0,0.0583,0.03,0.6375,0.4367,0.001749
1,0.0683,0.0417,0.2125,0.5892,0.00284811
5,0.085,0.0417,0.5358,0.2275,0.0035445000000000003
4,0.0333,0.04,0.6267,0.8383,0.001332
4,0.0183,0.025,0.5542,0.5592,0.0004575
1,0.03,0.0633,0.935,0.665,0.0018989999999999999
4,0.03,0.0267,0.5567,0.1067,0.0008010000000000001
4,0.0267,0.0333,0.3767,0.5233,0.0008891100000000001
4,0.025,0.025,0.0742,0.2658,0.0006250000000000001
3,0.08,0.065,0.5183,0.6008,0.005200000000000001
3,0.06,0.055,0.195,0.7908,0.0033
2,0.04,0.04,0.855,0.6617,0.0016
2,0.0383,0.0383,0.8508,0.1842,0.00146689
1,0.0533,0.04,0.1117,0.1133,0.002132
1,0.0483,0.04,0.2308,0.3317,0.0019320000000000001
2,0.0367,0.0383,0.5283,0.8258,0.00140561
3,0.0566,0.0682,0.7671,0.3353,0.0038601199999999994
3,0.0765,0.0765,0.3228,0.3794,0.00585225
3,0.0749,0.0632,0.5566,0.3694,0.0047336800000000005
4,0.025,0.035,0.1708,0.3608,0.0008750000000000001
0,0.0349,0.0483,0.9043,0.525,0.00168567
0,0.0316,0.0499,0.7662,0.3727,0.0015768400000000001
1,0.0399,0.0333,0.4709,0.2047,0.0013286700000000001
1,0.0349,0.0316,0.4018,0.5732,0.0011028400000000001
2,0.0433,0.0466,0.6223,0.1814,0.00201778
2,0.0367,0.0467,0.8133,0.445,0.00171389
1,0.0533,0.0383,0.0583,0.2008,0.00204139
1,0.0317,0.07,0.4992,0.14,0.002219
1,0.0583,0.03,0.6558,0.125,0.001749
1,0.0333,0.035,0.7467,0.9808,0.0011655000000000003
5,0.03,0.0517,0.1567,0.0675,0.001551
5,0.0533,0.025,0.4167,0.1208,0.0013325000000000001
5,0.035,0.04,0.3625,0.3667,0.0014000000000000002
2,0.0467,0.0467,0.5417,0.0883,0.00218089
2,0.0417,0.0467,0.6842,0.385,0.00194739
2,0.05,0.05,0.3033,0.5683,0.0025000000000000005
5,0.0433,0.0582,0.4626,0.0957,0.00252006
4,0.025,0.025,0.7292,0.3358,0.0006250000000000001
2,0.0383,0.0333,0.0908,0.075,0.0012753900000000002
2,0.0367,0.04,0.3967,0.17,0.0014680000000000001
2,0.04,0.0483,0.34,0.6592,0.0019320000000000001
2,0.0433,0.0433,0.3993,0.4393,0.00187489
2,0.0516,0.0483,0.0923,0.2288,0.00249228
4,0.0266,0.0283,0.4592,0.8494,0.0007527799999999999
4,0.0316,0.03,0.3852,0.5141,0.0009480000000000001
1,0.0333,0.0715,0.2962,0.3519,0.00238095
0,0.0632,0.0616,0.5025,0.2471,0.0038931200000000003
0,0.0516,0.0732,0.1805,0.4426,0.00377712
0,0.0433,0.0532,0.1431,0.7537,0.0023035599999999996
0,0.0449,0.0599,0.6314,0.6938,0.0026895100000000004
4,0.0516,0.0782,0.911,0.2271,0.0040351200000000005
4,0.0349,0.0366,0.7346,0.5241,0.00127734
2,0.05,0.045,0.46,0.8408,0.00225
0,0.085,0.0317,0.5558,0.4358,0.0026945000000000003
0,0.0583,0.0217,0.9642,0.6642,0.00126511
0,0.02,0.0367,0.79,0.98,0.0007340000000000001
0,0.0483,0.025,0.5458,0.9442,0.0012075000000000002
4,0.0283,0.0316,0.7213,0.6381,0.00089428
1,0.0517,0.0717,0.0475,0.7542,0.00370689
1,0.0567,0.04,0.3283,0.7767,0.002268
1,0.0483,0.0433,0.6947,0.2812,0.00209139
4,0.0317,0.0233,0.8858,0.6133,0.00073861
4,0.0283,0.0367,0.0908,0.6917,0.0010386100000000001
3,0.0733,0.0883,0.9167,0.7375,0.006472390000000001
3,0.0765,0.0799,0.5158,0.4576,0.00611235
1,0.0383,0.0715,0.495,0.7313,0.00273845
3,0.0483,0.0433,0.7097,0.6705,0.00209139
5,0.0517,0.06,0.0458,0.4283,0.003102
0,0.0467,0.0333,0.525,0.76,0.0015551100000000002
0,0.0483,0.03,0.3725,0.8983,0.001449
1,0.0467,0.0283,0.5167,0.7242,0.00132161
1,0.055,0.035,0.4508,0.3625,0.0019250000000000003
1,0.035,0.055,0.7275,0.5192,0.0019250000000000003
4,0.015,0.0467,0.8725,0.79,0.0007005
2,0.0666,0.0699,0.7987,0.8935,0.004655340000000001
2,0.0682,0.0499,0.2521,0.7854,0.00340318
2,0.0582,0.0532,0.0308,0.4077,0.00309624
5,0.0699,0.0316,0.4859,0.1539,0.0022088400000000005
5,0.03,0.0516,0.1764,0.2421,0.001548
1,0.0567,0.0417,0.59,0.5592,0.00236439
1,0.0567,0.045,0.9517,0.4142,0.0025515
5,0.0683,0.0367,0.6275,0.1267,0.0025066100000000003
5,0.0783,0.03,0.8975,0.1583,0.002349
5,0.03,0.0516,0.8403,0.2421,0.001548
5,0.0516,0.025,0.5815,0.1889,0.0012900000000000001
1,0.0483,0.03,0.7392,0.35,0.001449
1,0.0533,0.0267,0.1617,0.5267,0.00142311
1,0.065,0.0283,0.7342,0.5775,0.0018395
1,0.0767,0.0367,0.38,0.4367,0.0028148900000000004
3,0.07,0.0717,0.835,0.2808,0.005019000000000001
3,0.0667,0.055,0.805,0.8258,0.0036685
1,0.0366,0.0499,0.0749,0.6406,0.00182634
1,0.0516,0.0316,0.7196,0.9493,0.00163056
5,0.03,0.0517,0.1567,0.7592,0.001551
5,0.0517,0.025,0.4158,0.8125,0.0012925000000000002
0,0.0266,0.0582,0.3844,0.673,0.00154812
2,0.045,0.045,0.3758,0.1875,0.002025
2,0.045,0.0467,0.4825,0.51,0.0021015
0,0.0582,0.0466,0.8012,0.213,0.00271212
0,0.0532,0.0516,0.8203,0.9676,0.0027451199999999998
2,0.11,0.1,0.525,0.78,0.011000000000000001
2,0.0533,0.0533,0.9183,0.29,0.00284089
2,0.0767,0.0517,0.6683,0.0275,0.00396539
2,0.0467,0.05,0.84,0.54,0.002335
2,0.05,0.0583,0.5167,0.8175,0.002915
2,0.0417,0.0417,0.6542,0.4992,0.00173889
2,0.0417,0.035,0.3075,0.5375,0.0014595
0,0.0433,0.0283,0.2167,0.0875,0.0012253899999999998
0,0.03,0.0517,0.89,0.4458,0.001551
2,0.0833,0.0767,0.9367,0.5967,0.00638911
2,0.0667,0.0817,0.7067,0.3592,0.005449389999999999
2,0.035,0.0433,0.3942,0.6583,0.0015155000000000001
2,0.0383,0.045,0.0842,0.3375,0.0017235
2,0.0367,0.0417,0.355,0.8908,0.0015303900000000002
2,0.0267,0.0383,0.7733,0.5908,0.00102261
2,0.0317,0.04,0.8892,0.275,0.001268
2,0.0317,0.04,0.4658,0.3617,0.001268
